# LTspice XVII AC Analysis Export — Gain=10 (20 dB), fc=300 kHz
# Opamp: TL071  Supply: ±15 V  Vin_AC = 100 mVpp
# R1=1000 Ω  R2=9000 Ω
# NOTE: Simulation-derived data, not physical measurement.
Frequency_Hz,Gain_Linear,Gain_dB,Phase_deg,Vin_mVpp,Vout_mVpp
1,10.000305,20.0003,-0.0002,100,1000.03
2,9.99896,19.9991,-0.0004,100,999.896
5,10.00075,20.0007,-0.001,100,1000.075
10,10.000941,20.0008,-0.0019,100,1000.094
20,9.998049,19.9983,-0.0038,100,999.805
50,9.998698,19.9989,-0.0095,100,999.87
100,10.000127,20.0001,-0.0191,100,1000.013
200,9.999682,19.9997,-0.0382,100,999.968
500,9.999969,20.0,-0.0955,100,999.997
1000,9.999091,19.9992,-0.191,100,999.909
2000,10.000657,20.0006,-0.382,100,1000.066
5000,9.999389,19.9995,-0.9548,100,999.939
10000,9.994515,19.9952,-1.9092,100,999.452
20000,9.978979,19.9817,-3.8141,100,997.898
50000,9.864407,19.8814,-9.4623,100,986.441
100000,9.485974,19.5416,-18.4349,100,948.597
150000,8.944641,19.0313,-26.5651,100,894.464
200000,8.319544,18.402,-33.6901,100,831.954
300000,7.071946,16.9908,-45.0,100,707.195
400000,5.99995,15.563,-53.1301,100,599.995
500000,5.144773,14.2273,-59.0362,100,514.477
700000,3.938512,11.9066,-66.8014,100,393.851
1000000,2.874701,9.1719,-73.3008,100,287.47
2000000,1.48325,3.4243,-81.4692,100,148.325
3000000,0.994609,-0.047,-84.2894,100,99.461
5000000,0.598571,-4.4577,-86.5664,100,59.857
7000000,0.428711,-7.3567,-87.546,100,42.871
10000000,0.300231,-10.4509,-88.2816,100,30.023
